plate,Start Hub,End Hub,Date,Start Time,Trip Durration,Billing Zip Code
9140043,Nelson park,Nelson park,2024-12-08,2024-12-08 20:03:42,0:03:26,10562
9140018,Nelson park,Nelson park,2024-12-08,2024-12-08 19:36:27,0:13:01,10562
9140029,Metro North - Plaza,Cronton Ave & Pleasantville Road,2024-12-06,2024-12-06 14:37:15,0:08:45,11215
9140035,Nelson park,Metro North - Plaza,2024-12-09,2024-12-09 9:52:55,0:04:24,10562
9140036,Nelson park,Metro North - Plaza,2024-12-09,2024-12-09 9:46:02,0:04:49,10562
9140044,Nelson park,Nelson park,2024-12-08,2024-12-08 19:34:49,0:14:47,1018
9140034,Municipal Parking Lot Lot# 7,Arcadian Shopping Center,2024-12-03,2024-12-03 16:16:25,0:22:11,10562
9140042,Cronton Ave & Pleasantville Road,Cronton Ave & Pleasantville Road,2024-12-07,2024-12-07 21:39:40,0:30:08,10566
9140043,Nelson park,Nelson park,2024-12-08,2024-12-08 19:34:20,0:15:11,10541
9140032,"Spring St, Cofield",Metro North - Plaza,2024-12-08,2024-12-08 9:53:43,0:02:40,10562
9140021,Metro North - Plaza,Cronton Ave & Pleasantville Road,2024-12-05,2024-12-05 14:37:12,0:09:03,11215
9140043,Nelson park,Nelson park,2024-12-07,2024-12-07 14:33:40,0:05:26,10562
9140050,Arcadian Shopping Center,C Town Markets,2024-12-08,2024-12-08 11:14:51,0:16:12,10562
9140034,Arcadian Shopping Center,Arcadian Shopping Center,2024-12-07,2024-12-07 21:30:43,0:22:35,10562
9140026,Municipal Parking Lot Lot# 7,Arcadian Shopping Center,2024-12-03,2024-12-03 16:15:15,0:22:27,10562
9140034,Metro North - Plaza,Nelson park,2024-12-06,2024-12-06 18:10:21,0:06:11,10562
9140040,Market Square,Cronton Ave & Pleasantville Road,2024-11-26,2024-11-26 16:28:23,0:10:07,10562
9140036,Metro North - Plaza,Nelson park,2024-12-06,2024-12-06 17:37:48,0:05:37,10562
9140036,Metro North - Plaza,Nelson park,2024-12-05,2024-12-05 20:29:38,0:05:54,10562
9140037,Cronton Ave & Pleasantville Road,Cronton Ave & Pleasantville Road,2024-12-07,2024-12-07 21:39:20,0:22:10,10562
9140050,Arcadian Shopping Center,Arcadian Shopping Center,2024-12-07,2024-12-07 21:30:36,0:21:07,10514
9140006,Municipal Parking Lot Lot# 7,Municipal Parking Lot Lot# 7,2024-12-02,2024-12-02 15:18:56,0:23:57,10562
9140034,Municipal Parking Lot Lot# 7,Municipal Parking Lot Lot# 7,2024-12-02,2024-12-02 15:17:18,0:42:18,10562
9140016,Ossining Public Library,Arcadian Shopping Center,2024-11-23,2024-11-23 8:58:28,0:11:00,10562
9140035,Metro North - Plaza,Nelson park,2024-12-04,2024-12-04 21:03:48,0:07:08,10562
9140015,Cronton Ave & Pleasantville Road,Cronton Ave & Pleasantville Road,2024-12-07,2024-12-07 21:38:49,0:23:05,10562
9140018,Nelson park,Nelson park,2024-12-04,2024-12-04 14:01:39,0:21:41,10562
9140036,Nelson park,Metro North - Plaza,2024-12-06,2024-12-06 14:20:17,0:05:14,10562
9140040,Cronton Ave & Pleasantville Road,Ossining Public Library,2024-11-26,2024-11-26 23:43:14,0:05:58,10562
9140002,"Spring St, Cofield",C Town Markets,2024-12-07,2024-12-07 18:49:29,0:09:37,10562
9140032,Spring & Waller,Arcadian Shopping Center,2024-12-05,2024-12-05 18:50:54,0:19:54,89408
9140040,Spring & Waller,Arcadian Shopping Center,2024-12-02,2024-12-02 13:32:16,0:06:33,89408
9140005,"Spring St, Cofield",Arcadian Shopping Center,2024-12-06,2024-12-06 13:43:53,0:07:13,89408
9140033,"Spring St, Cofield",Arcadian Shopping Center,2024-12-03,2024-12-03 18:47:58,0:05:09,10562
9140009,Cronton Ave & Pleasantville Road,Ossining Public Library,2024-11-25,2024-11-25 23:19:09,0:12:29,10562
9140033,"Spring St, Cofield",Arcadian Shopping Center,2024-11-26,2024-11-26 18:58:25,0:05:06,10562
9140036,C Town Markets,Nelson park,2024-12-03,2024-12-03 6:52:03,0:06:17,10562
9140035,C Town Markets,Nelson park,2024-12-02,2024-12-02 6:50:47,0:06:10,10562
9140026,Municipal Parking Lot Lot# 7,Municipal Parking Lot Lot# 7,2024-12-02,2024-12-02 15:16:38,0:25:52,10562
9140010,Wishnie Park,Wishnie Park,2024-11-20,2024-11-20 13:06:37,0:24:47,10562
9140041,"Spring St, Cofield",Arcadian Shopping Center,2024-11-19,2024-11-19 18:46:41,0:05:36,10562
9140027,"Spring St, Cofield","Spring St, Cofield",2024-11-11,2024-11-11 11:48:07,0:45:18,10591
9140038,Wishnie Park,Wishnie Park,2024-11-20,2024-11-20 13:01:18,0:30:21,10562
9140014,"Spring St, Cofield","Spring St, Cofield",2024-11-11,2024-11-11 11:47:59,0:45:19,10591
9140045,Spring & Waller,Arcadian Shopping Center,2024-11-30,2024-11-30 13:18:21,0:07:30,89408
9140035,Metro North - Plaza,Nelson park,2024-12-02,2024-12-02 20:00:04,0:06:27,10562
9140018,Spring & Waller,Arcadian Shopping Center,2024-11-27,2024-11-27 10:48:00,0:06:12,10562
9140036,Nelson park,Metro North - Plaza,2024-12-05,2024-12-05 15:56:08,0:04:57,10562
9140040,Arcadian Shopping Center,Ossining Public Library,2024-12-07,2024-12-07 10:02:31,0:13:55,10562
9140035,Nelson park,Metro North - Plaza,2024-12-04,2024-12-04 14:50:17,0:05:22,10562
9140034,Ossining Public Library,Arcadian Shopping Center,2024-11-17,2024-11-17 8:59:05,0:09:10,10562
9140040,Ossining Public Library,Wishnie Park,2024-11-09,2024-11-09 16:06:02,0:06:23,10562
9140043,Ossining Public Library,Market Square,2024-11-08,2024-11-08 16:22:57,0:14:22,10562
9140043,Ossining Public Library,Ossining Public Library,2024-11-05,2024-11-05 16:49:17,0:55:31,10562
9140043,Nelson park,Nelson park,2024-12-01,2024-12-01 14:08:55,0:29:13,10562
9140043,Nelson park,Nelson park,2024-11-30,2024-11-30 18:29:36,0:01:37,10562
9140029,Cronton Ave & Pleasantville Road,Metro North - Plaza,2024-12-03,2024-12-03 19:41:13,0:07:55,11215
9140022,Wishnie Park,Wishnie Park,2024-11-15,2024-11-15 17:50:16,0:14:16,10562
9140017,Wishnie Park,Wishnie Park,2024-11-10,2024-11-10 16:11:07,0:09:55,10562
9140035,Nelson park,Metro North - Plaza,2024-12-02,2024-12-02 12:35:14,0:06:10,10562
9140020,Municipal Parking Lot Lot# 7,Arcadian Shopping Center,2024-11-30,2024-11-30 14:53:35,0:09:51,10562
9140026,Municipal Parking Lot Lot# 7,Arcadian Shopping Center,2024-11-30,2024-11-30 14:53:26,0:10:32,10562
9140020,Nelson park,Metro North - Plaza,2024-12-02,2024-12-02 9:23:21,0:05:30,10562
9140050,Metro North - Plaza,Nelson park,2024-11-30,2024-11-30 20:27:27,0:07:30,10562
9140050,Nelson park,Metro North - Plaza,2024-12-01,2024-12-01 9:56:41,0:04:03,10562
9140016,Metro North - Plaza,Cronton Ave & Pleasantville Road,2024-12-04,2024-12-04 15:37:32,0:09:03,11215
9140029,Metro North - Plaza,Cronton Ave & Pleasantville Road,2024-12-03,2024-12-03 15:37:18,0:09:49,11215
9140034,Ossining Public Library,Nelson park,2024-11-29,2024-11-29 14:27:54,0:25:45,10562
9140026,Municipal Parking Lot Lot# 7,Metro North - Plaza,2024-11-30,2024-11-30 7:28:23,0:05:52,11433
9140050,Nelson park,Metro North - Plaza,2024-11-30,2024-11-30 18:31:49,0:06:15,10562
9140045,Nelson park,Nelson park,2024-11-27,2024-11-27 19:40:29,0:14:09,10562
9140005,Arcadian Shopping Center,Spring & Waller,2024-12-07,2024-12-07 6:44:54,0:08:40,89408
9140020,Nelson park,Metro North - Plaza,2024-11-30,2024-11-30 9:51:39,0:04:55,10562
9140032,Arcadian Shopping Center,Spring & Waller,2024-12-03,2024-12-03 5:52:57,0:08:41,89408
9140006,Spring & Waller,Spring & Waller,2024-11-08,2024-11-08 23:45:35,0:35:55,10510
9140034,Nelson park,Municipal Parking Lot Lot# 7,2024-11-30,2024-11-30 21:40:44,0:36:36,10562
9140040,Municipal Parking Lot Lot# 7,Metro North - Plaza,2024-11-30,2024-11-30 7:28:19,0:06:25,11433
9140022,Wishnie Park,Wishnie Park,2024-11-10,2024-11-10 16:09:20,0:01:26,10562
9140022,Wishnie Park,Wishnie Park,2024-11-10,2024-11-10 16:06:59,0:01:56,10562
9140035,Market Square,Nelson park,2024-11-26,2024-11-26 15:10:13,0:06:23,10562
9140044,Nelson park,Metro North - Plaza,2024-11-24,2024-11-24 10:02:39,0:04:47,10562
9140018,Nelson park,Ossining Public Library,2024-11-29,2024-11-29 13:36:31,0:06:24,10562
9140012,Arcadian Shopping Center,Market Square,2024-12-01,2024-12-01 15:51:50,0:10:20,10703
9140018,Spring & Waller,Spring & Waller,2024-11-08,2024-11-08 23:45:06,0:36:24,10562
9140041,"Spring St, Cofield",,2024-11-11,2024-11-11 0:42:15,8:32:40,10562
9140044,Nelson park,Arcadian Shopping Center,2024-11-29,2024-11-29 6:52:19,0:05:08,10562
9140047,Arcadian Shopping Center,Ossining Public Library,2024-12-01,2024-12-01 12:19:54,0:13:27,10567
9140045,Nelson park,Arcadian Shopping Center,2024-11-28,2024-11-28 4:15:38,0:05:42,10562
9140050,Spring & Waller,Arcadian Shopping Center,2024-11-06,2024-11-06 13:00:03,0:07:03,10562
9140028,C Town Markets,C Town Markets,2024-11-23,2024-11-23 13:58:28,0:20:17,10562
9140013,Ossining Public Library,Market Square,2024-11-04,2024-11-04 8:58:09,2:49:26,10562
9140016,Ossining Public Library,Ossining Public Library,2024-11-03,2024-11-03 12:29:41,0:55:22,11230
9140041,"Spring St, Cofield","Spring St, Cofield",2024-11-10,2024-11-10 8:11:01,0:19:43,10562
9140026,Arcadian Shopping Center,Spring & Waller,2024-11-30,2024-11-30 16:59:43,0:09:01,10562
9140010,Wishnie Park,Wishnie Park,2024-11-10,2024-11-10 14:07:18,0:34:48,10562
9140020,Arcadian Shopping Center,Spring & Waller,2024-11-30,2024-11-30 16:59:42,0:09:03,10562
9140041,C Town Markets,C Town Markets,2024-11-23,2024-11-23 13:58:04,0:20:58,10562
9140044,Metro North - Plaza,Metro North - Plaza,2024-11-24,2024-11-24 12:41:24,0:01:39,10562
9140041,C Town Markets,Nelson park,2024-11-25,2024-11-25 4:51:27,0:05:46,10562
9140029,Metro North - Plaza,Nelson park,2024-11-25,2024-11-25 21:38:09,0:06:32,10562
9140029,Metro North - Plaza,Nelson park,2024-11-25,2024-11-25 10:20:07,0:05:30,10562
9140022,Wishnie Park,Wishnie Park,2024-11-10,2024-11-10 14:01:03,0:39:56,10562
9140021,Municipal Parking Lot Lot# 7,Nelson park,2024-11-24,2024-11-24 14:56:48,0:09:25,10562
9140035,Nelson park,Arcadian Shopping Center,2024-11-27,2024-11-27 2:54:02,0:06:09,10562
9140006,Nelson park,Arcadian Shopping Center,2024-11-24,2024-11-24 23:54:30,0:22:13,10562
9140005,Municipal Parking Lot Lot# 7,Arcadian Shopping Center,2024-11-26,2024-11-26 16:17:29,0:26:10,10562
9140017,Wishnie Park,Nelson park,2024-11-23,2024-11-23 12:34:54,0:15:48,10562
9140048,"Spring St, Cofield","Spring St, Cofield",2024-10-30,2024-10-30 19:28:15,0:29:01,10562
9140045,Market Square,Arcadian Shopping Center,2024-11-18,2024-11-18 19:30:09,0:06:47,10562
9140004,Spring & Waller,Spring & Waller,2024-11-05,2024-11-05 12:13:40,1:33:08,11230
9140032,"Spring St, Cofield","Spring St, Cofield",2024-10-30,2024-10-30 19:23:22,0:34:04,10562
9140032,"Spring St, Cofield","Spring St, Cofield",2024-10-23,2024-10-23 21:51:09,0:15:12,10562
9140026,C Town Markets,Nelson park,2024-11-23,2024-11-23 6:19:22,0:06:56,10562
9140035,Market Square,Market Square,2024-11-11,2024-11-11 12:39:15,0:17:04,10562
9140023,Municipal Parking Lot Lot# 7,Arcadian Shopping Center,2024-11-26,2024-11-26 16:14:55,0:30:08,10562
9140006,Nelson park,Metro North - Plaza,2024-11-23,2024-11-23 9:53:08,0:11:01,10562
9140041,"Spring St, Cofield","Spring St, Cofield",2024-10-23,2024-10-23 21:49:49,0:17:03,10562
9140026,Ossining Public Library,Arcadian Shopping Center,2024-10-31,2024-10-31 13:09:34,0:20:47,10562
9140017,Nelson park,Arcadian Shopping Center,2024-11-24,2024-11-24 8:54:35,0:05:44,10562
9140017,Nelson park,Nelson park,2024-11-23,2024-11-23 13:41:34,0:13:08,10562
9140013,Nelson park,Metro North - Plaza,2024-11-22,2024-11-22 14:15:49,0:04:45,10562
9140026,Nelson park,Arcadian Shopping Center,2024-11-23,2024-11-23 7:22:43,0:06:43,10562
9140021,Municipal Parking Lot Lot# 7,Nelson park,2024-11-23,2024-11-23 14:32:35,0:05:29,10562
9140050,Spring & Waller,Spring & Waller,2024-11-04,2024-11-04 1:11:08,0:20:04,10591
9140018,Spring & Waller,Spring & Waller,2024-11-02,2024-11-02 1:35:17,0:33:28,10510
9140005,Arcadian Shopping Center,Municipal Parking Lot Lot# 7,2024-11-25,2024-11-25 19:48:27,0:10:25,10562
9140006,Metro North - Plaza,Nelson park,2024-11-22,2024-11-22 18:56:31,0:06:56,10562
9140040,Wishnie Park,Ossining Public Library,2024-11-09,2024-11-09 7:42:34,0:06:18,10562
